dates,region,department,commune,Idps,MenaeIdp,IdpReturn,MenaeReturnIdp,ReturnEtrangerMenages,ReturnEtrangerIndividus,autochtone,autochtoneMenages,RessortissantsPaysTiersMenage,RessortissantsPaysTiersIndi,RefugeesMenages,RefugeesIndi
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,210,30,0,0,0,0,700,700,0,0,10,70
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,420,60,0,0,0,0,805,805,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,280,40,0,0,0,0,350,350,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,1890,270,0,0,0,0,2800,2800,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Tibiri,700,100,0,0,0,0,1050,1050,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Tibiri,315,45,0,0,10,0,1365,1365,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Tibiri,70,10,0,0,0,0,602,602,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Tibiri,140,20,0,0,10,0,938,938,0,0,30,210
2022-05-31,Maradi,Guidan Roumdji,Tibiri,350,50,0,0,0,0,2450,2450,0,0,25,175
2022-05-31,Maradi,Madarounfa,Sarkin Yamma,280,40,0,0,5,0,1848,1848,0,0,0,0
2022-05-31,Maradi,Madarounfa,Sarkin Yamma,280,40,0,0,0,0,700,700,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Guidan Sori,280,40,0,0,0,0,0,0,0,0,0,0
2022-05-31,Maradi,Madarounfa,Safo,7,1,0,0,0,0,0,0,0,0,0,0
2022-05-31,Maradi,Madarounfa,Safo,140,20,0,0,0,0,700,700,0,0,0,0
2022-05-31,Maradi,Madarounfa,Dan Issa,56,8,0,0,20,0,1400,1400,0,0,150,1050
2022-05-31,Maradi,Madarounfa,Madarounfa,300,43,0,0,0,0,5040,5040,0,0,2,14
2022-05-31,Maradi,Madarounfa,Madarounfa,854,122,0,0,0,0,2450,2450,0,0,7,49
2022-05-31,Maradi,Madarounfa,Madarounfa,0,0,0,0,135,0,1540,1540,0,0,0,0
2022-05-31,Maradi,Madarounfa,Dan Issa,0,0,0,0,0,0,9000,9000,0,0,21,147
2022-05-31,Maradi,Madarounfa,Sarkin Yamma,700,100,0,0,0,0,10500,10500,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Tibiri,364,52,0,0,0,0,0,0,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Tibiri,56,8,0,0,0,0,1141,1141,0,0,9,63
2022-05-31,Maradi,Guidan Roumdji,Tibiri,30,5,0,0,1,0,1750,1750,0,0,4,28
